Rk,Name,Age,Tm,PA,Pit,Pit/PA,Str,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,I/Bll,AS/Pit,Con,1stS,30%,30c,30s,20%,20c,20s,31%,31c,31s,L/SO,S/SO,L/SO%,PAu,Pitu,Stru
1,David Aardsma\aardsda01,24,CHC,3,9,3.00,8,88.9%,37.5%,25.0%,0.0%,37.5%,62.5%,0.0%,55.6%,60.0%,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,,0,0,0
2,Andy Abad*\abadan01,33,CIN,5,19,3.80,9,47.4%,33.3%,11.1%,22.2%,33.3%,66.7%,0.0%,31.6%,83.3%,20.0%,20.0%,1,0,20.0%,1,0,20.0%,1,0,0,0,,0,0,0
3,Reggie Abercrombie\abercre01,25,FLA,282,990,3.51,683,69.6%,13.9%,28.8%,30.6%,26.6%,86.1%,2.6%,59.9%,66.5%,53.9%,3.2%,9,0,7.8%,22,13,5.3%,15,8,14,64,17.9%,0,0,0
4,Bobby Abreu*\abreubo01,32,TOT,687,3059,4.45,1740,57.2%,35.8%,14.9%,25.1%,24.2%,64.2%,1.4%,36.7%,76.8%,13.0%,8.0%,55,0,22.4%,154,40,14.0%,96,46,40,98,29.0%,0,0,0
5,Bobby Abreu*\abreubo01,32,PHI,439,1959,4.46,1075,55.3%,37.9%,14.4%,23.6%,24.1%,62.1%,1.7%,34.4%,76.8%,11.6%,9.6%,42,0,25.3%,111,27,17.1%,75,33,29,57,33.7%,0,0,0
6,Bobby Abreu*\abreubo01,32,NYY,248,1100,4.44,665,60.7%,32.5%,15.6%,27.5%,24.4%,67.5%,0.9%,41.0%,76.8%,15.3%,5.2%,13,0,17.3%,43,13,8.5%,21,13,11,41,21.2%,0,0,0
7,Jeremy Accardo\accarje01,24,TOT,5,13,2.60,10,76.9%,30.0%,20.0%,10.0%,40.0%,70.0%,0.0%,53.8%,71.4%,40.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,1,0.0%,0,0,0
8,Jeremy Accardo\accarje01,24,SFG,5,13,2.60,10,76.9%,30.0%,20.0%,10.0%,40.0%,70.0%,0.0%,53.8%,71.4%,40.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,1,0.0%,0,0,0
9,Russ Adams*\adamsru01,25,TOR,280,1083,3.87,679,62.7%,33.3%,8.2%,26.7%,31.8%,66.7%,0.0%,41.8%,87.6%,19.3%,5.4%,15,0,14.3%,40,8,10.4%,29,13,10,31,24.4%,0,0,0
10,Jon Adkins*\adkinjo01,28,SDP,2,5,2.50,3,60.0%,66.7%,0.0%,33.3%,0.0%,33.3%,0.0%,20.0%,100.0%,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,1,0,100.0%,0,0,0
11,Jeremy Affeldt*\affelje01,27,TOT,3,13,4.33,8,61.5%,37.5%,25.0%,12.5%,25.0%,62.5%,0.0%,38.5%,60.0%,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,1,0,100.0%,0,0,0
12,Jeremy Affeldt*\affelje01,27,KCR,2,10,5.00,6,60.0%,33.3%,33.3%,16.7%,16.7%,66.7%,0.0%,40.0%,50.0%,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,1,0,100.0%,0,0,0
13,Jeremy Affeldt*\affelje01,27,COL,1,3,3.00,2,66.7%,50.0%,0.0%,0.0%,50.0%,50.0%,0.0%,33.3%,100.0%,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,,0,0,0
14,Chris Aguila\aguilch01,27,FLA,105,393,3.74,256,65.8%,29.7%,17.6%,25.8%,27.0%,70.3%,2.9%,46.3%,75.0%,23.8%,7.6%,8,1,11.4%,12,3,6.7%,7,4,5,21,19.2%,0,0,0
15,Matt Albers*\alberma01,23,HOU,4,13,3.25,12,92.3%,41.7%,41.7%,8.3%,8.3%,58.3%,0.0%,53.8%,28.6%,25.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,3,0.0%,0,0,0
16,Manny Alexander\alexama02,35,SDP,39,132,3.38,85,68.5%,23.5%,9.4%,29.4%,37.6%,76.5%,17.0%,52.4%,87.7%,23.1%,10.3%,4,0,20.5%,8,3,5.1%,2,2,1,4,20.0%,0,0,0
17,Edgardo Alfonzo\alfoned01,32,TOT,95,363,3.82,235,64.7%,32.8%,6.8%,25.1%,35.3%,67.2%,0.0%,43.5%,89.9%,13.7%,6.3%,6,0,15.8%,15,6,13.7%,13,2,0,4,0.0%,0,0,0
18,Edgardo Alfonzo\alfoned01,32,LAA,52,201,3.87,138,68.7%,32.6%,7.2%,26.1%,34.1%,67.4%,0.0%,46.3%,89.2%,13.5%,7.7%,4,0,15.4%,8,2,13.5%,7,2,0,3,0.0%,0,0,0
19,Edgardo Alfonzo\alfoned01,32,TOR,43,162,3.77,97,59.9%,33.0%,6.2%,23.7%,37.1%,67.0%,0.0%,40.1%,90.8%,14.0%,4.7%,2,0,16.3%,7,4,14.0%,6,0,0,1,0.0%,0,0,0
20,Eliezer Alfonzo\alfonel01,27,SFG,310,1016,3.28,728,73.7%,20.1%,25.5%,24.3%,30.1%,79.9%,9.7%,58.9%,68.0%,35.8%,4.8%,15,0,7.4%,23,5,3.9%,12,11,6,68,8.1%,0,0,0
21,Sandy Alomar\alomasa02,40,TOT,113,398,3.52,277,69.6%,17.7%,13.4%,34.3%,34.7%,82.3%,0.0%,57.3%,83.8%,27.4%,2.7%,3,0,8.0%,9,6,1.8%,2,2,2,12,14.3%,0,0,0
22,Sandy Alomar\alomasa02,40,LAD,62,198,3.19,141,71.2%,15.6%,17.7%,27.7%,39.0%,84.4%,0.0%,60.1%,79.0%,37.1%,1.6%,1,0,6.5%,4,3,1.6%,1,1,0,7,0.0%,0,0,0
23,Sandy Alomar\alomasa02,40,CHW,51,200,3.92,136,68.0%,19.9%,8.8%,41.2%,30.1%,80.1%,0.0%,54.5%,89.0%,15.7%,3.9%,2,0,9.8%,5,3,2.0%,1,1,2,5,28.6%,0,0,0
24,Moises Alou\aloumo01,39,SFG,379,1245,3.28,761,61.5%,16.6%,12.5%,29.2%,41.8%,83.4%,1.7%,51.3%,85.0%,42.7%,6.3%,24,3,16.6%,63,29,8.7%,33,17,5,26,16.1%,0,0,0
25,Abe Alvarez*\alvarab01,23,BOS,1,3,3.00,3,100.0%,66.7%,33.3%,0.0%,0.0%,33.3%,,33.3%,0.0%,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,1,0,100.0%,0,0,0
26,Alfredo Amezaga#\amezaal01,28,FLA,380,1428,3.76,918,64.9%,29.1%,11.9%,26.8%,32.2%,70.9%,2.7%,46.0%,83.3%,25.5%,4.7%,18,0,12.9%,49,7,9.7%,37,4,14,32,30.4%,0,0,0
27,Brian Anderson\anderbr03,24,CHW,405,1405,3.47,924,66.1%,22.2%,19.0%,28.5%,30.3%,77.8%,1.5%,51.4%,75.5%,42.5%,4.2%,17,0,11.6%,47,16,6.4%,26,20,28,62,31.1%,0,0,0
28,Drew Anderson*\anderdr01,25,MIL,10,36,3.60,22,61.1%,36.4%,31.8%,9.1%,22.7%,63.6%,0.0%,38.9%,50.0%,30.0%,10.0%,1,0,30.0%,3,1,10.0%,1,0,0,4,0.0%,0,0,0
29,Garret Anderson*\anderga01,34,LAA,590,1993,3.38,1293,66.3%,24.1%,15.6%,25.1%,35.2%,75.9%,6.0%,50.3%,79.4%,32.0%,5.6%,33,6,14.9%,88,40,6.1%,36,25,23,72,24.2%,0,0,0
30,Marlon Anderson*\anderma02,32,TOT,313,1280,4.09,809,63.4%,32.4%,12.6%,25.7%,29.3%,67.6%,0.8%,42.9%,81.4%,20.8%,4.8%,15,1,13.1%,41,13,11.8%,37,27,7,42,14.3%,0,0,0
