Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
1,David Aardsma\aardsda01,22,SFG,NL,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
2,Paul Abbott\abbotpa01,36,TOT,MLB,20,14,11,1,2,0,0,0,2,0,0,0,4,.182,.182,.182,.364,-7,2,0,0,3,0,0,1
3,Paul Abbott\abbotpa01,36,TBD,AL,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
4,Paul Abbott\abbotpa01,36,PHI,NL,10,14,11,1,2,0,0,0,2,0,0,0,4,.182,.182,.182,.364,-7,2,0,0,3,0,0,1
5,Bobby Abreu*\abreubo01,30,PHI,NL,159,713,574,118,173,47,1,30,105,40,5,127,116,.301,.428,.544,.971,145,312,5,5,0,7,10,*9
6,Jose Acevedo\acevejo01,26,CIN,NL,39,52,43,0,2,0,0,0,1,0,0,3,26,.047,.106,.047,.153,-58,2,1,0,5,1,0,1
7,Mike Adams\adamsmi03,25,MIL,NL,46,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
8,Russ Adams*\adamsru01,23,TOR,AL,22,78,72,10,22,2,1,4,10,1,0,5,5,.306,.359,.528,.887,124,38,3,1,0,0,0,6
9,Terry Adams\adamste01,31,TOT,AL,61,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
10,Terry Adams\adamste01,31,TOR,AL,42,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
11,Terry Adams\adamste01,31,BOS,AL,19,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
12,Jon Adkins*\adkinjo01,26,CHW,AL,50,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
13,Jeremy Affeldt*\affelje01,25,KCR,AL,38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
14,Chris Aguila\aguilch01,25,FLA,NL,29,48,45,10,10,2,1,3,5,0,0,2,12,.222,.255,.511,.766,96,23,0,0,1,0,0,9/7
15,Kurt Ainsworth\ainswku01,25,BAL,AL,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
16,Manny Alexander\alexama02,33,TEX,AL,21,22,21,3,5,2,0,0,3,0,0,1,7,.238,.273,.333,.606,52,7,0,0,0,0,0,4/65
17,Jason Alfaro\alfarja01,26,HOU,NL,7,12,11,1,2,0,0,0,0,0,0,0,5,.182,.182,.182,.364,-6,2,1,0,1,0,0,/6
18,Antonio Alfonseca\alfonan01,32,ATL,NL,79,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
19,Edgardo Alfonzo\alfoned01,30,SFG,NL,139,576,519,66,150,26,1,11,77,1,1,46,40,.289,.350,.407,.757,95,211,15,5,2,4,2,*5/4
20,Chad Allen\allench01,29,TEX,AL,20,63,58,4,14,4,1,0,6,0,1,2,13,.241,.262,.345,.607,52,20,1,0,2,1,0,7/D9
21,Armando Almanza*\almanar01,31,ATL,NL,13,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,0,1
22,Carlos Almanzar\almanca01,30,TEX,AL,67,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
23,Roberto Alomar#\alomaro01,36,TOT,MLB,56,190,171,18,45,6,2,4,24,0,2,14,31,.263,.321,.392,.713,81,67,4,1,3,1,0,4/D
24,Roberto Alomar#\alomaro01,36,ARI,NL,38,125,110,14,34,5,2,3,16,0,2,12,18,.309,.382,.473,.855,116,52,2,1,2,0,0,4/D
25,Roberto Alomar#\alomaro01,36,CHW,AL,18,65,61,4,11,1,0,1,8,0,0,2,13,.180,.203,.246,.449,16,15,2,0,1,1,0,4/D
26,Sandy Alomar\alomasa02,38,CHW,AL,50,164,146,15,35,4,0,2,14,0,0,11,13,.240,.298,.308,.606,58,45,4,2,3,2,2,2/D
27,Moises Alou\aloumo01,37,CHC,NL,155,675,601,106,176,36,3,39,106,3,0,68,80,.293,.361,.557,.919,132,335,12,0,0,6,2,*7/D
28,Abe Alvarez*\alvarab01,21,BOS,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
29,Tony Alvarez\alvarto01,25,PIT,NL,24,45,38,5,8,2,0,1,8,0,0,4,7,.211,.289,.342,.631,64,13,1,1,0,2,0,/987
30,Wilson Alvarez*\alvarwi01,34,LAD,NL,40,34,31,4,5,0,0,0,0,0,0,1,14,.161,.188,.161,.349,-6,5,2,0,2,0,0,1
31,Alfredo Amezaga#\amezaal01,26,ANA,AL,73,105,93,12,15,2,0,2,11,3,2,3,24,.161,.212,.247,.459,21,23,2,3,6,0,0,654/D
32,Brian Anderson#\anderbr02,32,KCR,AL,35,2,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,1,0,0,1
33,Garret Anderson*\anderga01,32,ANA,AL,112,475,442,57,133,20,1,14,75,2,1,29,75,.301,.343,.446,.789,107,197,3,1,0,3,6,8D
34,Jason Anderson*\anderja01,25,CLE,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
35,Jimmy Anderson*\anderji02,28,TOT,MLB,12,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
36,Jimmy Anderson*\anderji02,28,CHC,NL,7,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
37,Jimmy Anderson*\anderji02,28,BOS,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
38,Marlon Anderson*\anderma02,30,STL,NL,113,271,253,31,60,12,0,8,28,6,2,12,38,.237,.269,.379,.649,66,96,5,1,0,5,1,479/3D
39,Rick Ankiel*\ankieri01,24,STL,NL,5,2,1,0,0,0,0,0,0,0,0,1,1,.000,.500,.000,.500,47,0,0,0,0,0,0,/1
40,Kevin Appier\appieke01,36,KCR,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
41,Greg Aquino\aquingr01,26,ARI,NL,34,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
42,Danny Ardoin\ardoida01,29,TEX,AL,6,11,8,1,1,0,0,0,1,0,0,3,2,.125,.364,.125,.489,32,1,0,0,0,0,0,/2
43,Tony Armas\armasto02,26,MON,NL,17,21,16,0,0,0,0,0,0,0,0,0,5,.000,.000,.000,.000,-100,0,0,0,5,0,0,1
44,Bronson Arroyo\arroybr01,27,BOS,AL,32,7,6,0,0,0,0,0,0,0,0,0,5,.000,.000,.000,.000,-100,0,0,0,1,0,0,1
45,Andy Ashby\ashbyan01,36,SDP,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
46,Pedro Astacio\astacpe01,35,BOS,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
47,Scott Atchison\atchisc01,28,SEA,AL,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
48,Garrett Atkins\atkinga01,24,COL,NL,15,33,28,3,10,2,0,1,8,0,0,4,3,.357,.424,.536,.960,135,15,0,0,0,1,0,/537
49,Rich Aurilia\aurilri01,32,TOT,MLB,124,450,399,49,98,21,2,6,44,1,0,37,71,.246,.314,.353,.667,78,141,12,4,7,3,1,65/43
50,Rich Aurilia\aurilri01,32,SEA,AL,73,292,261,27,63,13,0,4,28,1,0,22,43,.241,.304,.337,.641,70,88,10,2,6,1,1,6
51,Rich Aurilia\aurilri01,32,SDP,NL,51,158,138,22,35,8,2,2,16,0,0,15,28,.254,.331,.384,.715,93,53,2,2,1,2,0,5/463
52,Brad Ausmus\ausmubr01,35,HOU,NL,129,448,403,38,100,14,1,5,31,2,2,33,56,.248,.306,.325,.631,63,131,13,2,7,3,11,*2
53,Luis Ayala\ayalalu01,26,MON,NL,81,10,9,0,3,1,0,0,0,0,0,0,3,.333,.333,.444,.778,96,4,0,0,1,0,0,1
54,Brandon Backe\backebr01,26,HOU,NL,34,21,16,3,5,0,0,1,6,0,0,1,8,.313,.389,.500,.889,127,8,0,1,3,0,0,1
55,Mike Bacsik*\bacsimi02,26,TEX,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
56,Cha-Seung Baek\baekch01,24,SEA,AL,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
57,Carlos Baerga#\baergca01,35,ARI,NL,79,94,85,6,20,2,0,2,11,0,0,6,12,.235,.309,.329,.638,62,28,7,3,0,0,0,/3D
58,Danys Baez\baezda01,26,TBD,AL,62,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
59,Jeff Bagwell\bagweje01,36,HOU,NL,156,679,572,104,152,29,2,27,89,6,4,96,131,.266,.377,.465,.842,116,266,12,8,0,3,6,*3/D
60,Jeff Bajenaru\bajenje01,26,CHW,AL,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
61,Paul Bako*\bakopa01,32,CHC,NL,49,157,138,13,28,8,0,1,10,1,0,15,29,.203,.288,.283,.571,48,39,4,2,1,1,3,2
62,Rocco Baldelli\baldero01,22,TBD,AL,136,565,518,79,145,27,3,16,74,17,4,30,88,.280,.326,.436,.762,100,226,12,8,3,6,2,*8D
63,James Baldwin\baldwja01,32,NYM,NL,2,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
64,Grant Balfour\balfogr01,26,MIN,AL,36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
65,Rod Barajas\barajro01,28,TEX,AL,108,389,358,50,89,26,1,15,58,0,1,13,63,.249,.276,.453,.728,80,162,3,3,8,7,0,2/3
66,Josh Bard#\bardjo01,26,CLE,AL,7,23,19,5,8,2,0,1,4,0,0,3,0,.421,.478,.684,1.162,207,13,0,0,0,1,0,/2
67,Clint Barmes\barmecl01,25,COL,NL,20,77,71,14,20,3,1,2,10,0,1,3,10,.282,.320,.437,.757,84,31,2,1,2,0,0,/46
68,Michael Barrett\barremi01,27,CHC,NL,134,506,456,55,131,32,6,16,65,1,4,33,64,.287,.337,.489,.826,109,223,13,5,4,8,4,*2
69,Jason Bartlett\bartlja01,24,MIN,AL,8,14,12,2,1,0,0,0,1,2,0,1,1,.083,.154,.083,.237,-36,1,0,0,1,0,0,/64D
70,Cliff Bartosh*\bartocl01,24,CLE,AL,34,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
71,Miguel Batista\batismi01,33,TOR,AL,38,5,5,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
72,Tony Batista\batisto01,30,MON,NL,157,650,606,76,146,30,2,32,110,14,6,26,78,.241,.272,.455,.728,81,276,14,4,4,10,4,*5
73,Rick Bauer\bauerri01,27,BAL,AL,23,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
74,Danny Bautista\bautida01,32,ARI,NL,141,582,539,64,154,27,1,11,65,6,2,35,66,.286,.332,.401,.733,85,216,20,4,1,3,2,*9/8D
75,Denny Bautista\bautide01,21,TOT,AL,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
76,Denny Bautista\bautide01,21,BAL,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
77,Denny Bautista\bautide01,21,KCR,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
78,Jose Bautista\bautijo02,23,TOT,MLB,64,96,88,6,18,3,0,0,2,0,1,7,40,.205,.263,.239,.502,33,21,1,0,1,0,0,95/78D
79,Jose Bautista\bautijo02,23,TOT,AL,41,53,48,5,10,1,0,0,2,0,1,5,22,.208,.283,.229,.512,37,11,0,0,0,0,0,59/7D
80,Jose Bautista\bautijo02,23,BAL,AL,16,12,11,3,3,0,0,0,0,0,0,1,3,.273,.333,.273,.606,63,3,0,0,0,0,0,/95D
81,Jose Bautista\bautijo02,23,TBD,AL,12,15,12,1,2,0,0,0,1,0,1,3,7,.167,.333,.167,.500,39,2,0,0,0,0,0,/795D
82,Jose Bautista\bautijo02,23,KCR,AL,13,26,25,1,5,1,0,0,1,0,0,1,12,.200,.231,.240,.471,23,6,0,0,0,0,0,5/9
83,Jose Bautista\bautijo02,23,PIT,NL,23,43,40,1,8,2,0,0,0,0,0,2,18,.200,.238,.250,.488,28,10,1,0,1,0,0,/98
84,Jason Bay\bayja01,25,PIT,NL,120,472,411,61,116,24,4,26,82,4,6,41,129,.282,.358,.550,.907,132,226,9,10,5,5,2,*7/8
85,Rod Beck\beckro01,35,SDP,NL,26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
86,Josh Beckett\beckejo02,24,FLA,NL,26,55,44,2,7,1,0,0,2,0,0,2,18,.159,.196,.182,.377,1,8,0,0,9,0,0,1
87,Erik Bedard*\bedarer01,25,BAL,AL,27,5,4,0,0,0,0,0,0,0,0,1,3,.000,.200,.000,.200,-40,0,0,0,0,0,0,1
88,Joe Beimel*\beimejo01,27,MIN,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
89,David Bell\bellda01,31,PHI,NL,143,603,533,67,155,33,1,18,77,1,1,57,75,.291,.363,.458,.821,107,244,14,6,2,5,4,*5
90,Heath Bell\bellhe01,26,NYM,NL,17,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
91,Rob Bell\bellro01,27,TBD,AL,24,5,5,1,1,1,0,0,0,0,0,0,2,.200,.200,.400,.600,54,2,0,0,0,0,0,1
92,Mark Bellhorn#\bellhma01,29,BOS,AL,138,620,523,93,138,37,3,17,82,6,1,88,177,.264,.373,.444,.817,107,232,8,5,1,3,1,*45/D6
93,Ronnie Belliard\belliro01,29,CLE,AL,152,663,599,78,169,48,1,12,70,3,2,60,98,.282,.348,.426,.774,106,255,18,2,0,2,5,*4/D
94,Carlos Beltran#\beltrca01,27,TOT,MLB,159,708,599,121,160,36,9,38,104,42,3,92,101,.267,.367,.548,.915,133,328,8,7,3,7,10,*8
95,Carlos Beltran#\beltrca01,27,KCR,AL,69,309,266,51,74,19,2,15,51,14,3,37,44,.278,.367,.534,.901,130,142,4,2,1,3,7,8
96,Carlos Beltran#\beltrca01,27,HOU,NL,90,399,333,70,86,17,7,23,53,28,0,55,57,.258,.368,.559,.926,135,186,4,5,2,4,3,8
97,Francis Beltran\beltrfr01,24,TOT,NL,45,3,3,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,72,1,0,0,0,0,0,1
98,Francis Beltran\beltrfr01,24,CHC,NL,34,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
99,Francis Beltran\beltrfr01,24,MON,NL,11,2,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,157,1,0,0,0,0,0,1
100,Rigo Beltran*\beltrri01,34,MON,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
101,Adrian Beltre\beltrad01,25,LAD,NL,156,657,598,104,200,32,0,48,121,7,2,53,87,.334,.388,.629,1.017,163,376,15,2,0,4,9,*5/6
102,Armando Benitez\benitar01,31,FLA,NL,64,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
103,Gary Bennett\bennega01,32,MIL,NL,75,246,219,18,49,14,0,3,20,1,0,22,32,.224,.297,.329,.626,62,72,9,2,0,3,3,2
104,Jeff Bennett\benneje01,24,MIL,NL,60,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
105,Joaquin Benoit\benoijo01,26,TEX,AL,28,6,6,1,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
106,Kris Benson\bensokr01,29,TOT,NL,31,75,58,3,8,0,0,0,5,0,0,2,26,.138,.167,.138,.305,-19,8,0,0,15,0,0,1
