Rk,Name,Age,Tm,PA,Pit,Pit/PA,Str,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,I/Bll,AS/Pit,Con,1stS,30%,30c,30s,20%,20c,20s,31%,31c,31s,L/SO,S/SO,L/SO%,PAu,Pitu,Stru
1,Brent Abernathy\abernbr01,24,TBD,504,1716,3.40,1155,67.3%,29.6%,9.0%,24.4%,37.0%,70.4%,0.0%,47.4%,87.2%,22.8%,4.2%,21,2,11.5%,58,9,7.1%,36,14,8,37,17.4%,0,0,0
2,Bobby Abreu*\abreubo01,28,PHI,686,2948,4.30,1695,58.2%,38.6%,11.7%,22.5%,27.2%,61.4%,2.9%,35.7%,81.0%,13.1%,8.0%,55,1,19.5%,134,35,12.5%,86,51,34,83,29.1%,0,0,0
3,Jose Acevedo\acevejo01,24,CIN,10,36,3.60,27,75.0%,51.9%,29.6%,7.4%,11.1%,48.1%,0.0%,36.1%,38.5%,20.0%,20.0%,2,0,20.0%,2,0,20.0%,2,1,2,3,33.3%,0,0,0
4,Terry Adams\adamste01,29,PHI,34,128,3.76,87,68.0%,35.6%,19.5%,24.1%,20.7%,64.4%,0.0%,43.8%,69.6%,29.4%,5.9%,2,0,14.7%,5,0,2.9%,1,0,5,7,38.5%,0,0,0
5,Benny Agbayani\agbaybe01,30,TOT,172,685,3.98,405,59.5%,30.9%,16.3%,24.4%,28.4%,69.1%,1.4%,41.1%,76.4%,19.8%,8.7%,15,2,19.8%,34,8,7.6%,13,9,15,25,37.5%,0,0,0
6,Benny Agbayani\agbaybe01,30,COL,129,524,4.06,309,59.0%,32.0%,17.5%,23.6%,26.9%,68.0%,0.0%,40.1%,74.3%,20.9%,8.5%,11,2,20.9%,27,6,7.8%,10,7,13,22,37.1%,0,0,0
7,Benny Agbayani\agbaybe01,30,BOS,43,161,3.74,96,61.1%,27.1%,12.5%,27.1%,33.3%,72.9%,6.2%,44.6%,82.9%,16.3%,9.3%,4,0,16.3%,7,2,7.0%,3,2,2,3,40.0%,0,0,0
8,Kurt Ainsworth\ainswku01,23,SFG,7,23,3.29,16,69.6%,31.3%,18.8%,12.5%,37.5%,68.8%,0.0%,47.8%,72.7%,28.6%,0.0%,0,0,0.0%,0,0,14.3%,1,0,0,1,0.0%,0,0,0
9,Israel Alcantara\alcanis01,29,MIL,32,142,4.44,88,62.0%,19.3%,17.0%,34.1%,29.5%,80.7%,0.0%,50.0%,78.9%,31.3%,3.1%,1,1,9.4%,3,2,6.3%,2,2,3,3,50.0%,0,0,0
10,Antonio Alfonseca\alfonan01,30,CHC,3,8,2.67,6,75.0%,33.3%,16.7%,0.0%,50.0%,66.7%,0.0%,50.0%,75.0%,33.3%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,,0,0,0
11,Edgardo Alfonzo\alfoned01,28,NYM,562,2212,3.94,1371,62.9%,24.5%,11.6%,31.9%,31.9%,75.5%,3.7%,47.5%,84.6%,23.8%,4.8%,27,0,14.1%,79,34,9.8%,55,22,8,47,14.5%,0,0,0
12,Luis Alicea#\alicelu01,36,KCR,274,1034,3.77,606,58.7%,33.8%,8.1%,24.1%,34.0%,66.2%,0.2%,38.8%,87.8%,23.7%,5.5%,15,0,16.1%,44,17,11.3%,31,15,16,18,47.1%,0,0,0
13,Chad Allen\allench01,27,CLE,11,37,3.36,24,64.9%,20.8%,16.7%,25.0%,37.5%,79.2%,0.0%,51.4%,78.9%,36.4%,0.0%,0,0,9.1%,1,1,0.0%,0,0,0,2,0.0%,0,0,0
14,Luke Allen*\allenlu01,23,LAD,9,43,4.78,25,58.1%,16.0%,24.0%,44.0%,16.0%,84.0%,0.0%,48.8%,71.4%,55.6%,0.0%,0,0,22.2%,2,2,11.1%,1,1,1,2,33.3%,0,0,0
15,Roberto Alomar#\alomaro01,34,NYM,659,2654,4.03,1632,61.8%,29.4%,9.3%,29.8%,31.5%,70.6%,1.3%,43.6%,86.9%,19.4%,5.3%,35,0,15.9%,105,38,11.7%,77,51,17,66,20.5%,0,0,0
16,Sandy Alomar\alomasa02,36,TOT,297,1011,3.40,668,66.1%,22.5%,12.0%,27.7%,37.9%,77.5%,0.0%,51.2%,84.6%,24.2%,4.7%,14,0,13.8%,41,23,5.1%,15,9,4,29,12.1%,0,0,0
17,Sandy Alomar\alomasa02,36,CHW,176,601,3.41,399,66.4%,24.6%,10.5%,25.8%,39.1%,75.4%,0.0%,50.1%,86.0%,19.3%,4.5%,8,0,13.6%,24,14,4.0%,7,5,2,12,14.3%,0,0,0
18,Sandy Alomar\alomasa02,36,COL,121,410,3.39,269,65.6%,19.3%,14.1%,30.5%,36.1%,80.7%,0.0%,52.9%,82.5%,31.4%,5.0%,6,0,14.0%,17,9,6.6%,8,4,2,17,10.5%,0,0,0
19,Moises Alou\aloumo01,35,CHC,536,1785,3.33,1078,60.9%,18.4%,14.7%,27.5%,39.5%,81.6%,2.3%,49.7%,82.0%,38.8%,5.8%,31,3,15.9%,85,43,8.0%,43,25,18,43,29.5%,0,0,0
20,Tony Alvarez\alvarto01,23,PIT,30,105,3.50,63,60.0%,25.4%,15.9%,23.8%,34.9%,74.6%,0.0%,44.8%,78.7%,40.0%,3.3%,1,0,20.0%,6,2,13.3%,4,1,1,4,20.0%,0,0,0
21,Victor Alvarez*\alvarvi01,25,LAD,2,6,3.00,6,100.0%,83.3%,0.0%,16.7%,0.0%,16.7%,,16.7%,100.0%,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,2,0,100.0%,0,0,0
22,Wilson Alvarez*\alvarwi01,32,TBD,4,13,3.25,8,61.5%,50.0%,12.5%,0.0%,37.5%,50.0%,0.0%,30.8%,75.0%,0.0%,0.0%,0,0,0.0%,0,0,25.0%,1,1,0,1,0.0%,0,0,0
