Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
1,Andy Abad*\abadan01,28,OAK,AL,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,/3
2,Jeff Abbott\abbotje01,28,FLA,NL,28,46,42,5,11,3,0,0,5,0,0,3,7,.262,.326,.333,.659,75,14,1,1,0,0,0,/897
3,Kurt Abbott\abbotku01,32,ATL,NL,6,9,9,0,2,0,0,0,0,1,0,0,3,.222,.222,.222,.444,15,2,0,0,0,0,0,/46
4,Paul Abbott\abbotpa01,33,SEA,AL,28,5,4,0,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,37,1,0,0,1,0,0,1
5,Brent Abernathy\abernbr01,23,TBD,AL,79,335,304,43,82,17,1,5,33,8,3,27,35,.270,.328,.382,.710,90,116,3,0,3,1,1,4
6,Bobby Abreu*\abreubo01,27,PHI,NL,162,704,588,118,170,48,4,31,110,36,14,106,137,.289,.393,.543,.936,142,319,13,1,0,9,11,*9
7,Jose Acevedo\acevejo01,23,CIN,NL,18,36,34,1,4,1,0,0,1,0,0,0,18,.118,.118,.147,.265,-33,5,0,0,2,0,0,1
8,Juan Acevedo\aceveju01,31,TOT,NL,59,4,3,1,1,1,0,0,0,0,0,0,0,.333,.333,.667,1.000,154,2,0,0,1,0,0,1
9,Juan Acevedo\aceveju01,31,COL,NL,39,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
10,Juan Acevedo\aceveju01,31,FLA,NL,20,4,3,1,1,1,0,0,0,0,0,0,0,.333,.333,.667,1.000,154,2,0,0,1,0,0,1
11,Terry Adams\adamste01,28,LAD,NL,43,48,39,2,2,1,0,0,1,0,0,3,19,.051,.116,.077,.193,-46,3,0,0,5,1,0,1
12,Benny Agbayani\agbaybe01,29,NYM,NL,91,339,296,28,82,14,2,6,27,4,5,36,73,.277,.364,.399,.763,102,118,11,5,1,1,0,7
13,Kurt Ainsworth\ainswku01,22,SFG,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
14,Israel Alcantara\alcanis01,28,BOS,AL,14,41,38,3,10,1,0,0,3,1,0,3,13,.263,.317,.289,.607,62,11,3,0,0,0,0,/739D
15,Cory Aldridge*\aldrico01,22,ATL,NL,8,5,5,1,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,0,0,0,0,0,0,/987
16,Antonio Alfonseca\alfonan01,29,FLA,NL,58,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
17,Edgardo Alfonzo\alfoned01,27,NYM,NL,124,519,457,64,111,22,0,17,49,5,0,51,62,.243,.322,.403,.725,90,184,7,5,1,5,0,*4
18,Luis Alicea#\alicelu01,35,KCR,AL,113,418,387,44,106,16,4,4,32,8,6,23,56,.274,.320,.367,.687,77,142,6,4,3,1,0,4D5
19,Chad Allen\allench01,26,MIN,AL,57,195,175,20,46,13,2,4,20,1,2,19,37,.263,.333,.429,.762,99,75,7,0,0,1,1,D79
20,Armando Almanza*\almanar01,28,FLA,NL,52,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
21,Carlos Almanzar\almanca01,27,NYY,AL,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
22,Erick Almonte\almoner01,23,NYY,AL,8,4,4,0,2,1,0,0,0,2,0,0,1,.500,.500,.750,1.250,223,3,0,0,0,0,0,/6D
23,Roberto Alomar#\alomaro01,33,CLE,AL,157,677,575,113,193,34,12,20,100,30,6,80,71,.336,.415,.541,.956,150,311,9,4,9,9,5,*4
24,Sandy Alomar\alomasa02,35,CHW,AL,70,239,220,17,54,8,1,4,21,1,2,12,17,.245,.288,.345,.634,64,76,6,2,3,2,1,2
25,Moises Alou\aloumo01,34,HOU,NL,136,581,513,79,170,31,1,27,108,5,1,57,57,.331,.396,.554,.949,137,284,18,3,0,8,14,*9/D
26,Brady Anderson*\anderbr01,37,BAL,AL,131,501,430,50,87,12,3,8,45,12,4,60,77,.202,.311,.300,.611,66,129,3,8,2,1,4,*97/8D
27,Brian Anderson#\anderbr02,29,ARI,NL,33,37,37,1,5,1,1,0,2,0,0,0,9,.135,.135,.216,.351,-14,8,2,0,0,0,0,1
28,Garret Anderson*\anderga01,29,ANA,AL,161,704,672,83,194,39,2,28,123,13,6,27,100,.289,.314,.478,.792,104,321,12,0,0,5,4,*78D
29,Jimmy Anderson*\anderji02,25,PIT,NL,34,69,59,2,7,1,0,0,3,0,0,4,15,.119,.175,.136,.310,-19,8,1,0,6,0,0,1
30,Marlon Anderson*\anderma02,27,PHI,NL,147,574,522,69,153,30,2,11,61,8,5,35,74,.293,.337,.421,.758,97,220,12,2,10,5,5,*4
31,Matt Anderson\anderma01,24,DET,AL,62,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
32,Rick Ankiel*\ankieri01,21,STL,NL,6,10,8,1,0,0,0,0,0,0,0,1,5,.000,.111,.000,.111,-67,0,0,0,1,0,0,/1
33,Kevin Appier\appieke01,33,NYM,NL,33,67,62,4,7,0,0,0,4,0,0,1,24,.113,.141,.113,.254,-32,7,0,1,3,0,0,1
34,Alex Arias\ariasal01,33,SDP,NL,70,158,137,19,31,9,0,2,12,1,0,17,22,.226,.312,.336,.648,75,46,3,1,1,2,1,5346
