Rk,Name,Age,Tm,PA,Pit,Pit/PA,Str,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,I/Bll,AS/Pit,Con,1stS,30%,30c,30s,20%,20c,20s,31%,31c,31s,L/SO,S/SO,L/SO%,PAu,Pitu,Stru
1,Brent Abernathy\abernbr01,27,MIN,79,308,3.90,204,66.2%,31.4%,7.8%,30.4%,30.4%,68.6%,0.0%,45.5%,88.6%,16.5%,6.3%,5,0,11.4%,9,2,10.1%,8,1,2,7,22.2%,0,0,0
2,Bobby Abreu*\abreubo01,31,PHI,720,3163,4.39,1795,57.7%,40.9%,11.4%,22.0%,25.7%,59.1%,3.7%,34.1%,80.8%,10.3%,10.3%,74,1,23.8%,171,31,15.3%,110,50,46,88,34.3%,0,0,0
3,Jeremy Accardo\accarje01,23,SFG,2,6,3.00,4,66.7%,25.0%,25.0%,0.0%,50.0%,75.0%,0.0%,50.0%,66.7%,50.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,,0,0,0
4,Jose Acevedo\acevejo01,27,COL,11,40,3.64,28,70.0%,50.0%,25.0%,14.3%,10.7%,50.0%,0.0%,35.0%,50.0%,27.3%,0.0%,0,0,18.2%,2,0,0.0%,0,0,2,4,33.3%,0,0,0
5,Russ Adams*\adamsru01,24,TOR,546,2038,3.73,1267,62.3%,34.0%,7.3%,24.4%,34.3%,66.0%,0.5%,41.1%,89.0%,13.9%,4.4%,24,0,14.5%,79,22,7.5%,41,14,19,38,33.3%,0,0,0
6,Chris Aguila\aguilch01,26,FLA,82,285,3.48,202,70.9%,27.7%,18.3%,24.8%,29.2%,72.3%,0.0%,51.2%,74.7%,25.6%,1.2%,1,0,4.9%,4,2,2.4%,2,1,9,10,47.4%,0,0,0
7,Manny Alexander\alexama02,34,SDP,21,91,4.33,55,63.2%,30.9%,20.0%,25.5%,23.6%,69.1%,11.1%,43.7%,71.1%,14.3%,9.5%,2,0,14.3%,3,1,4.8%,1,1,1,4,20.0%,0,0,0
8,Edgardo Alfonzo\alfoned01,31,SFG,403,1427,3.54,923,64.9%,26.2%,7.0%,30.0%,36.7%,73.8%,0.8%,47.9%,90.5%,23.1%,4.2%,17,0,11.4%,46,20,7.4%,30,19,5,29,14.7%,0,0,0
9,Chad Allen\allench01,30,TEX,56,214,3.82,147,68.7%,24.5%,17.0%,30.6%,27.9%,75.5%,0.0%,51.9%,77.5%,33.9%,1.8%,1,0,10.7%,6,2,5.4%,3,2,4,9,30.8%,0,0,0
10,Sandy Alomar\alomasa02,39,TEX,137,491,3.58,334,68.0%,22.8%,12.3%,29.3%,35.6%,77.2%,0.0%,52.5%,84.1%,18.2%,2.9%,4,0,8.8%,12,6,6.6%,9,8,2,10,16.7%,0,0,0
11,Moises Alou\aloumo01,38,SFG,492,1671,3.40,965,57.9%,17.6%,14.8%,27.4%,40.2%,82.4%,0.6%,47.7%,82.0%,40.9%,6.9%,34,6,15.4%,76,33,11.4%,56,29,11,32,25.6%,0,0,0
