Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
1,Jeff Abbott\abbotje01,27,CHW,AL,80,242,215,31,59,15,1,3,29,2,1,21,38,.274,.343,.395,.738,86,85,2,2,2,1,1,879/D
2,Kurt Abbott\abbotku01,31,NYM,NL,79,173,157,22,34,7,1,6,12,1,1,14,51,.217,.283,.389,.672,71,61,2,1,0,1,2,64/58
3,Paul Abbott\abbotpa01,32,SEA,AL,35,6,5,1,2,1,0,0,0,0,0,0,1,.400,.400,.600,1.000,156,3,0,0,1,0,0,1
4,Bobby Abreu*\abreubo01,26,PHI,NL,154,680,576,103,182,42,10,25,79,28,8,100,116,.316,.416,.554,.970,143,319,12,1,0,3,9,*9
5,Juan Acevedo\aceveju01,30,MIL,NL,62,2,1,1,0,0,0,0,0,0,0,1,1,.000,.500,.000,.500,44,0,0,0,0,0,0,1
6,Terry Adams\adamste01,27,LAD,NL,66,3,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,1,0,0,1
7,Benny Agbayani\agbaybe01,28,NYM,NL,119,415,350,59,101,19,1,15,60,5,5,54,68,.289,.391,.477,.868,122,167,6,7,0,3,2,*79/8D
8,Rick Aguilera\aguilri01,38,CHC,NL,54,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
9,Israel Alcantara\alcanis01,27,BOS,AL,21,48,45,9,13,1,0,4,7,0,0,3,7,.289,.333,.578,.911,123,26,0,0,0,0,0,/D937
10,Scott Aldred*\aldresc01,32,PHI,NL,23,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
11,Manny Alexander\alexama02,29,BOS,AL,101,209,194,30,41,4,3,4,19,2,0,13,41,.211,.261,.325,.586,46,63,0,0,2,0,0,56/4D
12,Antonio Alfonseca\alfonan01,28,FLA,NL,68,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
13,Edgardo Alfonzo\alfoned01,26,NYM,NL,150,650,544,109,176,40,2,25,94,3,2,95,70,.324,.425,.542,.967,147,295,12,5,0,6,1,*4/D
14,Luis Alicea#\alicelu01,34,TEX,AL,139,619,540,85,159,25,8,6,63,1,3,59,75,.294,.365,.404,.769,95,218,13,5,7,7,1,*4/5D6
15,Chad Allen\allench01,25,MIN,AL,15,55,50,2,15,3,0,0,7,0,2,3,14,.300,.345,.360,.705,77,18,1,1,0,1,0,9/7
16,Dusty Allen\allendu01,27,TOT,MLB,27,32,28,5,7,2,0,2,2,0,0,4,12,.250,.344,.536,.879,125,15,1,0,0,0,0,3/75D9
17,Dusty Allen\allendu01,27,SDP,NL,9,14,12,0,0,0,0,0,0,0,0,2,5,.000,.143,.000,.143,-58,0,1,0,0,0,0,/73D
18,Dusty Allen\allendu01,27,DET,AL,18,18,16,5,7,2,0,2,2,0,0,2,7,.438,.500,.938,1.438,263,15,0,0,0,0,0,3/579
19,Armando Almanza*\almanar01,27,FLA,NL,67,2,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,1,0,0,1
20,Carlos Almanzar\almanca01,26,SDP,NL,62,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,1,0,0,0,0,1
21,Roberto Alomar#\alomaro01,32,CLE,AL,155,697,610,111,189,40,2,19,89,39,4,64,82,.310,.378,.475,.853,114,290,19,6,11,6,4,*4
22,Sandy Alomar\alomasa02,34,CLE,AL,97,384,356,44,103,16,2,7,42,2,2,16,41,.289,.324,.404,.728,83,144,9,4,4,4,1,2/D
23,Moises Alou\aloumo01,33,HOU,NL,126,517,454,82,161,28,2,30,114,3,3,52,45,.355,.416,.623,1.039,151,283,21,2,0,9,4,*97/D
24,Clemente Alvarez\alvarcl01,32,PHI,NL,2,5,5,1,1,0,0,0,0,0,0,0,1,.200,.200,.200,.400,2,1,0,0,0,0,0,/2
25,Gabe Alvarez\alvarga01,26,TOT,MLB,12,17,14,1,2,1,0,0,0,0,1,3,2,.143,.294,.214,.508,36,3,0,0,0,0,0,/57D
26,Gabe Alvarez\alvarga01,26,DET,AL,1,3,1,0,0,0,0,0,0,0,1,2,1,.000,.667,.000,.667,96,0,0,0,0,0,0,/D
27,Gabe Alvarez\alvarga01,26,SDP,NL,11,14,13,1,2,1,0,0,0,0,0,1,1,.154,.214,.231,.445,17,3,0,0,0,0,0,/57
28,Juan Alvarez*\alvarju01,26,ANA,AL,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
29,Rich Amaral\amarari01,38,BAL,AL,30,67,60,10,13,1,1,0,6,6,2,7,8,.217,.299,.267,.565,49,16,6,0,0,0,0,8/D973
30,Brady Anderson*\anderbr01,36,BAL,AL,141,618,506,89,130,26,0,19,50,16,9,92,103,.257,.375,.421,.796,106,213,4,8,5,7,5,*897D
31,Brian Anderson#\anderbr02,28,ARI,NL,37,81,69,4,13,3,0,0,4,0,0,1,10,.188,.194,.232,.426,6,16,1,0,9,2,0,1
32,Garret Anderson*\anderga01,28,ANA,AL,159,681,647,92,185,40,3,35,117,7,6,24,87,.286,.307,.519,.827,103,336,21,0,1,9,5,*89D
33,Jimmy Anderson*\anderji02,24,PIT,NL,27,54,50,5,7,1,0,0,1,0,0,0,11,.140,.140,.160,.300,-24,8,0,0,4,0,0,1
34,Marlon Anderson*\anderma02,26,PHI,NL,41,174,162,10,37,8,1,1,15,2,2,12,22,.228,.282,.309,.590,49,50,5,0,0,0,0,4
35,Matt Anderson\anderma01,23,DET,AL,69,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
36,Clayton Andrews\andrecl01,22,TOR,AL,8,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
37,Shane Andrews\andresh01,28,CHC,NL,66,222,192,25,44,5,0,14,39,1,1,27,59,.229,.329,.474,.803,102,91,9,2,0,1,1,5/3
