Rk,Name,Age,Tm,PA,Pit,Pit/PA,Str,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,I/Bll,AS/Pit,Con,1stS,30%,30c,30s,20%,20c,20s,31%,31c,31s,L/SO,S/SO,L/SO%,PAu,Pitu,Stru
1,Reggie Abercrombie\abercre01,26,FLA,80,273,3.41,202,74.0%,15.3%,32.2%,25.7%,26.7%,84.7%,0.0%,62.6%,62.0%,55.0%,1.3%,1,0,8.8%,7,6,3.8%,3,0,5,17,22.7%,0,0,0
2,Bobby Abreu*\abreubo01,33,NYY,702,3063,4.36,1771,57.8%,37.8%,11.9%,22.2%,28.1%,62.2%,0.0%,35.9%,80.9%,11.4%,6.4%,45,1,19.7%,138,33,14.5%,102,59,29,86,25.2%,0,0,0
3,Tony Abreu#\abreuto01,22,LAD,178,615,3.46,431,70.5%,21.6%,13.0%,31.3%,34.1%,78.4%,2.2%,55.3%,83.4%,29.8%,5.1%,9,0,10.1%,18,5,3.9%,7,5,1,20,4.8%,0,0,0
4,Winston Abreu\abreuwi01,30,WSN,2,5,2.50,4,80.0%,50.0%,25.0%,0.0%,25.0%,50.0%,0.0%,40.0%,50.0%,50.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,1,0.0%,0,0,0
5,Russ Adams*\adamsru01,26,TOR,69,273,3.96,164,61.0%,36.6%,11.0%,23.2%,29.3%,63.4%,3.7%,38.7%,82.7%,14.5%,10.1%,7,0,14.5%,10,0,10.1%,7,2,3,11,21.4%,0,0,0
6,Matt Albers*\alberma01,24,HOU,32,134,4.19,99,73.9%,28.3%,27.3%,29.3%,15.2%,71.7%,0.0%,53.0%,62.0%,18.8%,0.0%,0,0,9.4%,3,0,0.0%,0,0,3,13,17.6%,0,0,0
7,Antonio Alfonseca\alfonan01,35,PHI,1,4,4.00,3,75.0%,0.0%,66.7%,0.0%,33.3%,100.0%,0.0%,75.0%,33.3%,100.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,,0,0,0
8,Eliezer Alfonzo\alfonel01,28,SFG,67,241,3.60,179,76.8%,21.8%,21.8%,33.5%,22.9%,78.2%,12.9%,60.1%,72.1%,31.3%,4.5%,3,0,7.5%,5,0,3.0%,2,2,2,21,8.7%,0,0,0
9,Sandy Alomar\alomasa02,41,NYM,22,67,3.05,53,79.1%,22.6%,11.3%,30.2%,35.8%,77.4%,0.0%,61.2%,85.4%,40.9%,0.0%,0,0,9.1%,2,0,0.0%,0,0,0,3,0.0%,0,0,0
10,Moises Alou\aloumo01,40,NYM,360,1119,3.11,675,61.2%,18.5%,13.2%,23.7%,44.6%,81.5%,3.6%,49.9%,83.8%,38.3%,5.6%,20,1,13.9%,50,23,8.9%,32,18,7,23,23.3%,0,0,0
11,Chip Ambres\ambrech01,27,NYM,3,8,2.67,5,62.5%,40.0%,20.0%,0.0%,40.0%,60.0%,0.0%,37.5%,66.7%,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,1,0.0%,0,0,0
12,Alfredo Amezaga#\amezaal01,29,FLA,449,1673,3.73,1058,63.2%,27.8%,9.5%,28.9%,33.7%,72.2%,0.0%,45.7%,86.8%,29.0%,4.9%,22,0,13.8%,62,11,7.3%,33,13,20,32,38.5%,0,0,0
13,Brian Anderson\anderbr03,25,CHW,19,85,4.47,50,58.8%,24.0%,30.0%,26.0%,20.0%,76.0%,0.0%,44.7%,60.5%,36.8%,5.3%,1,0,21.1%,4,3,10.5%,2,1,2,5,28.6%,0,0,0
14,Garret Anderson*\anderga01,35,LAA,450,1544,3.43,1000,66.1%,23.8%,14.6%,24.7%,36.9%,76.2%,5.9%,50.4%,80.8%,30.0%,4.9%,22,3,14.7%,66,34,3.8%,17,8,7,47,13.0%,0,0,0
15,Josh Anderson*\anderjo03,24,HOU,75,246,3.28,157,63.8%,21.7%,8.3%,30.6%,39.5%,78.3%,0.0%,50.0%,89.4%,20.0%,2.7%,2,0,10.7%,8,6,1.3%,1,0,3,3,50.0%,0,0,0
16,Marlon Anderson*\anderma02,33,TOT,106,402,3.79,261,65.6%,26.8%,15.3%,26.8%,31.0%,73.2%,2.8%,48.0%,79.1%,32.1%,4.7%,5,0,12.3%,13,5,8.5%,9,6,5,12,29.4%,0,0,0
17,Marlon Anderson*\anderma02,33,LAD,29,122,4.21,70,57.4%,37.1%,12.9%,20.0%,30.0%,62.9%,0.0%,36.1%,79.5%,10.3%,6.9%,2,0,17.2%,5,0,13.8%,4,3,1,4,20.0%,0,0,0
18,Marlon Anderson*\anderma02,33,NYM,77,280,3.64,191,69.2%,23.0%,16.2%,29.3%,31.4%,77.0%,4.5%,53.3%,78.9%,40.3%,3.9%,3,0,10.4%,8,5,6.5%,5,3,4,8,33.3%,0,0,0
19,Robert Andino\andinro01,23,FLA,13,52,4.00,30,57.7%,20.0%,20.0%,23.3%,36.7%,80.0%,0.0%,46.2%,75.0%,7.7%,7.7%,1,0,23.1%,3,2,7.7%,1,0,0,2,0.0%,0,0,0
20,Rick Ankiel*\ankieri01,27,STL,190,653,3.44,421,64.5%,15.0%,22.6%,30.2%,32.3%,85.0%,0.0%,54.8%,73.5%,45.8%,5.3%,10,1,14.2%,27,14,7.9%,15,10,10,31,24.4%,0,0,0
21,Alberto Arias\ariasal02,23,COL,2,8,4.00,7,87.5%,14.3%,42.9%,42.9%,0.0%,85.7%,0.0%,75.0%,50.0%,50.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,2,0.0%,0,0,0
22,Tony Armas\armasto02,29,PIT,28,110,3.93,78,70.9%,29.5%,20.5%,29.5%,20.5%,70.5%,0.0%,50.0%,70.9%,17.9%,0.0%,0,0,7.1%,2,0,7.1%,2,2,3,9,25.0%,0,0,0
23,Bronson Arroyo\arroybr01,30,CIN,79,277,3.51,195,70.4%,33.3%,20.5%,22.6%,23.6%,66.7%,0.0%,46.9%,69.2%,41.8%,0.0%,0,0,8.9%,7,4,2.5%,2,1,14,16,46.7%,0,0,0
24,Scott Atchison\atchisc01,31,SFG,3,7,2.33,5,71.4%,40.0%,40.0%,0.0%,20.0%,60.0%,0.0%,42.9%,33.3%,33.3%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,1,0.0%,0,0,0
25,Garrett Atkins\atkinga01,27,COL,685,2670,3.90,1615,60.7%,31.0%,9.3%,27.5%,32.1%,69.0%,0.9%,41.9%,86.4%,19.3%,5.0%,34,1,18.0%,123,56,11.1%,76,38,30,66,31.3%,0,0,0
26,Rich Aurilia\aurilri01,35,SFG,359,1282,3.57,810,63.3%,28.3%,13.0%,23.3%,35.4%,71.7%,0.4%,45.4%,81.9%,23.7%,3.9%,14,0,12.3%,44,18,8.6%,31,16,15,30,33.3%,0,0,0
27,Brad Ausmus\ausmubr01,38,HOU,399,1469,3.68,917,62.9%,28.8%,12.2%,28.5%,30.5%,71.2%,1.8%,44.8%,82.8%,31.1%,4.8%,19,1,13.0%,52,27,7.8%,31,16,29,45,39.2%,0,0,0
28,Erick Aybar#\aybarer01,23,LAA,211,724,3.43,499,68.9%,24.4%,11.0%,31.1%,33.5%,75.6%,0.0%,52.1%,85.4%,38.9%,1.9%,4,0,10.4%,22,10,5.7%,12,6,9,23,28.1%,0,0,0
29,Brandon Backe\backebr01,29,HOU,11,45,4.09,28,62.2%,35.7%,7.1%,32.1%,25.0%,64.3%,0.0%,40.0%,88.9%,27.3%,18.2%,2,0,18.2%,2,0,9.1%,1,1,2,1,66.7%,0,0,0
30,Mike Bacsik*\bacsimi02,29,WSN,34,143,4.21,96,67.1%,43.8%,3.1%,25.0%,28.1%,56.3%,0.0%,37.8%,94.4%,17.6%,0.0%,0,0,17.6%,6,1,2.9%,1,0,4,2,66.7%,0,0,0
31,Cha-Seung Baek\baekch01,27,SEA,1,6,6.00,4,66.7%,50.0%,25.0%,25.0%,0.0%,50.0%,0.0%,33.3%,50.0%,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,1,0.0%,0,0,0
32,Homer Bailey\baileho02,21,CIN,12,47,3.92,33,70.2%,27.3%,21.2%,30.3%,21.2%,72.7%,0.0%,51.1%,70.8%,16.7%,0.0%,0,0,0.0%,0,0,0.0%,0,0,2,3,40.0%,0,0,0
33,Jeff Bailey\baileje01,28,BOS,9,25,2.78,18,72.0%,33.3%,0.0%,22.2%,44.4%,66.7%,0.0%,48.0%,100.0%,22.2%,0.0%,0,0,11.1%,1,1,0.0%,0,0,1,0,100.0%,0,0,0
34,Jeff Baker\bakerje03,26,COL,160,616,3.85,385,62.9%,25.2%,18.7%,29.1%,27.0%,74.8%,1.7%,47.1%,75.0%,25.6%,3.1%,5,2,11.9%,19,12,8.8%,14,10,11,29,27.5%,0,0,0
35,Scott Baker\bakersc02,25,MIN,6,23,3.83,15,65.2%,26.7%,13.3%,26.7%,33.3%,73.3%,0.0%,47.8%,81.8%,50.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,1,0.0%,0,0,0
36,Paul Bako*\bakopa01,35,BAL,174,621,3.57,406,65.4%,25.9%,22.2%,25.4%,26.6%,74.1%,0.0%,48.5%,70.1%,31.6%,2.9%,5,0,13.2%,23,14,7.5%,13,8,11,39,22.0%,0,0,0
37,Rocco Baldelli\baldero01,25,TBD,150,545,3.63,356,65.8%,21.9%,25.6%,23.6%,28.9%,78.1%,2.1%,51.4%,67.3%,28.0%,3.3%,5,0,12.7%,19,8,3.3%,5,3,6,29,17.1%,0,0,0
38,Wladimir Balentien\balenwl01,22,SEA,4,18,4.50,12,66.7%,33.3%,8.3%,25.0%,33.3%,66.7%,0.0%,44.4%,87.5%,0.0%,0.0%,0,0,0.0%,0,0,25.0%,1,1,0,0,,0,0,0
39,Brian Bannister\bannibr01,26,KCR,4,13,3.25,8,61.5%,12.5%,25.0%,37.5%,25.0%,87.5%,0.0%,53.8%,71.4%,25.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,1,0.0%,0,0,0
40,Rod Barajas\barajro01,31,PHI,147,567,3.86,348,62.7%,31.3%,12.1%,27.9%,28.7%,68.7%,5.5%,43.1%,82.4%,23.1%,7.5%,11,0,17.7%,26,5,10.9%,16,8,5,19,20.8%,0,0,0
41,Josh Bard#\bardjo01,29,SDP,444,1599,3.60,973,61.8%,26.8%,9.6%,29.2%,34.4%,73.2%,3.8%,45.2%,86.9%,33.1%,6.3%,28,1,18.9%,84,35,9.7%,43,20,29,29,50.0%,0,0,0
42,Brian Barden\bardebr01,26,TOT,37,129,3.49,83,64.3%,24.1%,20.5%,21.7%,33.7%,75.9%,0.0%,48.8%,73.0%,29.7%,5.4%,2,0,13.5%,5,2,5.4%,2,1,1,6,14.3%,0,0,0
43,Brian Barden\bardebr01,26,ARI,12,38,3.17,27,71.1%,29.6%,25.9%,11.1%,33.3%,70.4%,0.0%,50.0%,63.2%,25.0%,0.0%,0,0,16.7%,2,1,0.0%,0,0,0,3,0.0%,0,0,0
44,Brian Barden\bardebr01,26,STL,25,91,3.64,56,61.5%,21.4%,17.9%,26.8%,33.9%,78.6%,0.0%,48.4%,77.3%,32.0%,8.0%,2,0,12.0%,3,1,8.0%,2,1,1,3,25.0%,0,0,0
45,Josh Barfield\barfijo02,24,CLE,444,1637,3.69,1125,68.7%,20.3%,18.2%,31.6%,30.0%,79.7%,0.0%,54.8%,77.1%,39.9%,2.7%,12,0,8.6%,38,19,3.6%,16,15,15,75,16.7%,0,0,0
46,Sean Barker\barkese01,27,COL,3,10,3.33,7,70.0%,14.3%,42.9%,28.6%,14.3%,85.7%,0.0%,60.0%,50.0%,33.3%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,1,0.0%,0,0,0
47,Clint Barmes\barmecl01,28,COL,39,138,3.54,98,73.1%,25.5%,18.4%,30.6%,25.5%,74.5%,10.0%,54.5%,75.3%,33.3%,2.6%,1,0,5.1%,2,1,0.0%,0,0,1,12,7.7%,0,0,0
