
Rk,Name,Age,Tm,PA,Pit,Pit/PA,Str,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,I/Bll,AS/Pit,Con,1stS,30%,30c,30s,20%,20c,20s,31%,31c,31s,L/SO,S/SO,L/SO%,PAu,Pitu,Stru
1,Paul Abbott\abbotpa01,36,TOT,14,50,3.57,36,72.0%,33.3%,19.4%,19.4%,27.8%,66.7%,0.0%,48.0%,70.8%,28.6%,0.0%,0,0,14.3%,2,2,0.0%,0,0,1,2,25.0%,0,0,0
2,Paul Abbott\abbotpa01,36,PHI,14,50,3.57,36,72.0%,33.3%,19.4%,19.4%,27.8%,66.7%,0.0%,48.0%,70.8%,28.6%,0.0%,0,0,14.3%,2,2,0.0%,0,0,1,2,25.0%,0,0,0
3,Bobby Abreu*\abreubo01,30,PHI,715,3080,4.31,1741,57.2%,37.7%,10.1%,25.5%,26.7%,62.3%,2.7%,35.6%,83.9%,14.5%,8.7%,62,0,20.7%,148,31,14.4%,103,52,30,86,25.9%,0,0,0
4,Jose Acevedo\acevejo01,26,CIN,52,198,3.81,135,68.2%,46.7%,22.2%,14.1%,17.0%,53.3%,0.0%,36.4%,58.3%,28.8%,1.9%,1,0,13.5%,7,0,5.8%,3,0,13,12,50.0%,0,0,0
5,Russ Adams*\adamsru01,23,TOR,79,326,4.13,206,63.2%,37.9%,6.8%,22.8%,32.5%,62.1%,0.0%,39.3%,89.1%,8.9%,5.1%,4,0,15.2%,12,2,10.1%,8,3,3,2,60.0%,0,0,0
6,Chris Aguila\aguilch01,25,FLA,49,172,3.51,121,70.3%,29.8%,14.9%,27.3%,28.1%,70.2%,0.0%,49.4%,78.8%,12.2%,2.0%,1,0,10.2%,5,4,0.0%,0,0,3,9,25.0%,0,0,0
7,Manny Alexander\alexama02,33,TEX,22,97,4.41,62,63.9%,30.6%,19.4%,27.4%,22.6%,69.4%,0.0%,44.3%,72.1%,13.6%,0.0%,0,0,18.2%,4,3,0.0%,0,0,2,5,28.6%,0,0,0
8,Jason Alfaro\alfarja01,26,HOU,12,35,2.92,27,77.1%,22.2%,25.9%,25.9%,25.9%,77.8%,0.0%,60.0%,66.7%,58.3%,0.0%,0,0,8.3%,1,1,0.0%,0,0,2,3,40.0%,0,0,0
9,Antonio Alfonseca\alfonan01,32,ATL,1,3,3.00,3,100.0%,0.0%,66.7%,33.3%,0.0%,100.0%,,100.0%,33.3%,100.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,1,0.0%,0,0,0
10,Edgardo Alfonzo\alfoned01,30,SFG,577,2084,3.61,1319,63.4%,27.4%,9.6%,26.2%,36.8%,72.6%,0.7%,46.0%,86.8%,19.8%,5.2%,30,0,14.9%,86,31,8.5%,49,21,4,36,10.0%,0,0,0
11,Chad Allen\allench01,29,TEX,63,229,3.63,151,65.9%,24.5%,21.2%,22.5%,31.8%,75.5%,0.0%,49.8%,71.9%,19.0%,4.8%,3,1,12.7%,8,4,6.3%,4,3,1,12,7.7%,0,0,0
12,Armando Almanza*\almanar01,31,ATL,1,2,2.00,1,50.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,50.0%,100.0%,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,,0,0,0
13,Roberto Alomar#\alomaro01,36,TOT,192,734,3.82,479,65.3%,28.4%,15.7%,25.9%,30.1%,71.6%,0.0%,46.7%,78.1%,26.6%,4.2%,8,0,10.4%,20,5,7.3%,14,7,2,29,6.5%,0,0,0
14,Roberto Alomar#\alomaro01,36,ARI,125,491,3.93,309,62.9%,29.8%,14.6%,25.2%,30.4%,70.2%,0.0%,44.2%,79.3%,24.8%,5.6%,7,0,11.2%,14,3,8.8%,11,5,1,17,5.6%,0,0,0
15,Roberto Alomar#\alomaro01,36,CHW,67,243,3.63,170,70.0%,25.9%,17.6%,27.1%,29.4%,74.1%,0.0%,51.9%,76.2%,29.9%,1.5%,1,0,9.0%,6,2,4.5%,3,2,1,12,7.7%,0,0,0
16,Sandy Alomar\alomasa02,38,CHW,164,558,3.40,373,67.7%,22.0%,9.4%,31.6%,37.0%,78.0%,3.8%,52.8%,88.0%,29.3%,6.1%,10,0,14.6%,24,9,7.9%,13,9,0,12,0.0%,0,0,0
17,Moises Alou\aloumo01,37,CHC,676,2370,3.51,1440,61.0%,16.2%,15.5%,31.7%,36.6%,83.8%,0.9%,51.1%,81.5%,46.2%,3.8%,26,4,15.1%,102,55,9.5%,64,31,21,59,26.3%,0,0,0
18,Tony Alvarez\alvarto01,25,PIT,45,198,4.40,131,66.2%,19.8%,19.1%,35.9%,25.2%,80.2%,0.0%,53.0%,76.2%,40.0%,0.0%,0,0,8.9%,4,4,4.4%,2,1,2,5,28.6%,0,0,0
19,Wilson Alvarez*\alvarwi01,34,LAD,34,137,4.03,94,68.6%,35.1%,19.1%,25.5%,20.2%,64.9%,0.0%,44.5%,70.5%,20.6%,5.9%,2,0,8.8%,3,1,8.8%,3,2,5,9,35.7%,0,0,0
20,Alfredo Amezaga#\amezaal01,26,ANA,106,372,3.51,255,68.5%,25.1%,15.3%,30.2%,29.4%,74.9%,0.0%,51.3%,79.6%,34.9%,2.8%,3,0,16.0%,17,5,7.5%,8,2,4,20,16.7%,0,0,0
