
Rk,Name,Age,Tm,PA,Pit,Pit/PA,Str,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,I/Bll,AS/Pit,Con,1stS,30%,30c,30s,20%,20c,20s,31%,31c,31s,L/SO,S/SO,L/SO%,PAu,Pitu,Stru
1,Andy Abad*\abadan01,28,OAK,1,2,2.00,1,50.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,50.0%,100.0%,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,,0,0,0
2,Jeff Abbott\abbotje01,28,FLA,46,170,3.70,108,63.5%,31.5%,11.1%,25.0%,32.4%,68.5%,0.0%,43.5%,83.8%,19.6%,6.5%,3,0,8.7%,4,0,8.7%,4,0,3,4,42.9%,0,0,0
3,Kurt Abbott\abbotku01,32,ATL,9,41,4.56,27,65.9%,7.4%,40.7%,29.6%,22.2%,92.6%,0.0%,61.0%,56.0%,66.7%,0.0%,0,0,11.1%,1,1,11.1%,1,1,0,3,0.0%,0,0,0
4,Paul Abbott\abbotpa01,33,SEA,5,17,3.40,12,70.6%,16.7%,33.3%,16.7%,33.3%,83.3%,0.0%,58.8%,60.0%,60.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,1,0.0%,0,0,0
5,Brent Abernathy\abernbr01,23,TBD,336,1187,3.53,773,65.3%,26.9%,9.6%,28.2%,35.3%,73.1%,1.0%,47.8%,86.9%,27.7%,5.1%,17,1,13.1%,44,9,7.4%,25,15,10,25,28.6%,0,0,0
6,Bobby Abreu*\abreubo01,27,PHI,705,2940,4.17,1648,56.9%,35.2%,13.8%,23.1%,27.9%,64.8%,3.4%,36.9%,78.7%,15.7%,9.2%,65,2,19.4%,137,40,14.8%,104,63,45,92,32.8%,0,0,0
7,Jose Acevedo\acevejo01,23,CIN,36,118,3.28,90,76.3%,25.6%,33.3%,21.1%,20.0%,74.4%,0.0%,56.8%,55.2%,41.7%,0.0%,0,0,2.8%,1,1,0.0%,0,0,4,13,22.2%,0,0,0
8,Juan Acevedo\aceveju01,31,TOT,4,12,3.00,9,75.0%,22.2%,0.0%,33.3%,44.4%,77.8%,0.0%,58.3%,100.0%,50.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,,0,0,0
9,Juan Acevedo\aceveju01,31,FLA,4,12,3.00,9,75.0%,22.2%,0.0%,33.3%,44.4%,77.8%,0.0%,58.3%,100.0%,50.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,,0,0,0
10,Terry Adams\adamste01,28,LAD,48,177,3.69,122,68.9%,28.7%,23.8%,26.2%,21.3%,71.3%,0.0%,49.2%,66.7%,43.8%,0.0%,0,0,12.5%,6,3,6.3%,3,0,6,12,31.6%,0,0,0
11,Benny Agbayani\agbaybe01,29,NYM,340,1408,4.14,859,61.0%,26.9%,17.2%,29.7%,26.2%,73.1%,0.0%,44.6%,76.4%,26.2%,3.2%,11,0,14.1%,48,18,9.4%,32,23,19,54,26.0%,0,0,0
12,Israel Alcantara\alcanis01,28,BOS,42,142,3.38,92,64.8%,29.3%,23.9%,19.6%,27.2%,70.7%,0.0%,45.8%,66.2%,42.9%,2.4%,1,0,7.1%,3,1,9.5%,4,1,3,10,23.1%,0,0,0
13,Cory Aldridge*\aldrico01,22,ATL,5,14,2.80,14,100.0%,21.4%,57.1%,14.3%,7.1%,78.6%,,78.6%,27.3%,60.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,4,0.0%,0,0,0
14,Edgardo Alfonzo\alfoned01,27,NYM,520,2115,4.07,1291,61.0%,31.4%,10.5%,27.0%,31.1%,68.6%,0.0%,41.9%,84.7%,14.8%,4.8%,25,1,16.7%,87,38,9.0%,47,25,18,44,29.0%,0,0,0
15,Luis Alicea#\alicelu01,35,KCR,419,1502,3.58,961,64.0%,28.4%,10.2%,26.5%,34.9%,71.6%,0.0%,45.8%,85.8%,28.6%,3.3%,14,0,11.7%,49,20,7.6%,32,13,22,34,39.3%,0,0,0
16,Chad Allen\allench01,26,MIN,197,747,3.79,446,60.0%,28.5%,11.2%,29.1%,31.2%,71.5%,1.3%,42.9%,84.3%,25.4%,5.6%,11,2,14.7%,29,15,10.2%,20,8,15,22,40.5%,0,0,0
17,Erick Almonte\almoner01,23,NYY,4,10,2.50,10,100.0%,20.0%,20.0%,30.0%,30.0%,80.0%,,80.0%,75.0%,50.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,1,0.0%,0,0,0
18,Roberto Alomar#\alomaro01,33,CLE,686,2644,3.85,1568,59.7%,31.8%,8.2%,26.7%,33.3%,68.2%,1.7%,40.7%,88.0%,20.3%,5.1%,35,4,17.6%,121,41,12.7%,87,49,20,51,28.2%,0,0,0
19,Sandy Alomar\alomasa02,35,CHW,240,703,2.93,478,68.4%,19.7%,10.5%,26.4%,43.5%,80.3%,1.8%,54.9%,87.0%,34.6%,3.3%,8,0,8.8%,21,10,3.8%,9,4,6,11,35.3%,0,0,0
20,Moises Alou\aloumo01,34,HOU,582,1923,3.30,1180,62.8%,14.6%,14.7%,31.4%,39.3%,85.4%,6.1%,53.7%,82.8%,45.2%,6.7%,39,2,15.5%,90,39,7.6%,44,23,13,44,22.8%,0,0,0
21,Brady Anderson*\anderbr01,37,BAL,503,2009,3.99,1183,59.4%,30.9%,10.2%,28.8%,30.1%,69.1%,1.9%,41.0%,85.2%,23.7%,6.6%,33,3,21.9%,110,41,9.7%,49,25,29,48,37.7%,0,0,0
22,Brian Anderson#\anderbr02,29,ARI,37,111,3.00,81,73.0%,28.4%,13.6%,23.5%,34.6%,71.6%,0.0%,52.3%,81.0%,48.6%,0.0%,0,0,5.4%,2,1,0.0%,0,0,4,5,44.4%,0,0,0
23,Garret Anderson*\anderga01,29,ANA,707,2391,3.38,1596,67.1%,21.1%,14.2%,28.5%,36.2%,78.9%,1.6%,52.9%,82.0%,36.5%,2.1%,15,3,10.6%,75,49,6.5%,46,34,10,90,10.0%,0,0,0
24,Jimmy Anderson*\anderji02,25,PIT,69,220,3.19,159,72.3%,28.3%,15.1%,25.2%,31.4%,71.7%,0.0%,51.8%,78.9%,49.3%,5.8%,4,0,7.2%,5,1,1.4%,1,0,5,10,33.3%,0,0,0
25,Marlon Anderson*\anderma02,27,PHI,576,2013,3.49,1336,66.9%,23.4%,12.5%,29.5%,34.7%,76.6%,2.5%,51.3%,83.7%,36.3%,4.9%,28,1,10.2%,59,18,6.1%,35,24,23,51,31.1%,0,0,0
26,Rick Ankiel*\ankieri01,21,STL,10,30,3.00,25,83.3%,20.0%,28.0%,36.0%,16.0%,80.0%,0.0%,66.7%,65.0%,70.0%,10.0%,1,0,10.0%,1,0,0.0%,0,0,2,3,40.0%,0,0,0
